year,subject,question,a,b,c,d,e,answer
2021,thai,"เวลาเช้าตรู่ที่อากาศเย็นเรามักสังเกตเห็นหยดน้ำ เกาะอยู่ตามใบหญ้า
เพราะอุณหภูมิของอากาศลดต่ำลงจนทำให้ไอน้ำ กลั่นตัวเป็นน้ำ ได้เราเรียก
“จุดน้ำค้าง” หากจุดน้ำค้างมีค่าสูงนั่นคือปริมาณน้ำ ในอากาศขณะนั้นมีมาก

ข้อความข้างต้นมีคำสันธานกี่คำ",๑ คํา,๓ คำ,๔ คำ,๕ คำ,๖ คำ,b
2021,thai,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม
ตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว

ข้อความข้างต้นมีคำนามกี่คำ",๔ คำ,๕ ค่า,๖ คำ,๓ คำ,๘ คำ,d
2021,thai,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม
ตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว

ข้อความข้างต้นมีคำกริยาหลักกี่คำ",๓ คำ,๔ คำ,๕ คำ,๖ คำ,๗ คำ,c
2021,thai,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และข้อ ข
กรรมการ : ดิฉันขอเสนอประเด็นเพิ่มเติมเพื่อ.............เพียงเท่านี้ ขอบคุณค่ะ
ประธาน : เอาละครับนับตั้งแต่การประชุมครั้งที่แล้วมีผู้เสนอประเด็นใน
เรื่องนี้ไว้หลายประเด็นรวมกับของวันนี้อีก๒ประเด็นน่าจะครบถ้วนแล้วเราจะ
นำมาปรึกษากันในที่ประชุมนี้ทีละประเด็นครับ

ข้อความข้างต้นควรจะอยู่ในระเบียบวาระใดของการประชุม",ระเบียบวาระที่๑ : เรื่องที่ประธานแจ้งให้ที่ประชุมทราบ,ระเบียบวาระที่๒ : เรื่องรับรองรายงานการประชุม,ระเบียบวาระที่๓ : เรื่องสืบเนื่อง,ระเบียบวาระที่4 : เรื่องเสนอเพื่อพิจารณา,ระเบียบวาระที่๕ : เรื่องอื่นๆ,c
2021,thai,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
๑) เอาทุนจากไหนมาแต่ก็ดีนะดีกว่าอยู่ว่างๆ
๒) แล้วจะเริ่มต้นยังไงล่ะฉันเองไม่เคยขายของเลย
๓) ถ้าขายดีฉันจะทำต่อเองเธอไปหาอย่างอื่นทำ ก็แล้วกัน
๔) ใกล้บ้านเรามีร้านกาแฟเยอะมากฉันว่าขายอย่างอื่นไม่ดีหรือ
๕) จะเปิดร้านที่ไหนดีล่ะไหนๆก็มีอุปกรณ์แล้วคงจะพอมีกำไรอยู่บ้าง

คำพูดของป้อมตามข้อใดข้างต้นสอดคล้องกับคำพูดของนุชในข้อความต่อไปนี้
นุช : ปิดเทอมนี้เรามาหุ้นกันขายกาแฟโบราณไหม จะได้มีเงินเก็บเป็น
ค่าเทอมช่วยแบ่งเบาภาระทางบ้านเห็นเขาบอกว่าได้กำไร๑๐๐ %เลยนะ
ป้อม : .........................................
นุช : ซื้อแฟรนไชส์ไงไม่ลองก็ไม่รู้",ข้อ ๑,ข้อ ๒,ข้อ ๓,ข้อ ๔,ข้อ ๕,b
2021,thai,"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
๑) เอาทุนจากไหนมาแต่ก็ดีนะดีกว่าอยู่ว่างๆ
๒) แล้วจะเริ่มต้นยังไงล่ะฉันเองไม่เคยขายของเลย
๓) ถ้าขายดีฉันจะทำต่อเองเธอไปหาอย่างอื่นทำ ก็แล้วกัน
๔) ใกล้บ้านเรามีร้านกาแฟเยอะมากฉันว่าขายอย่างอื่นไม่ดีหรือ
๕) จะเปิดร้านที่ไหนดีล่ะไหนๆก็มีอุปกรณ์แล้วคงจะพอมีกำไรอยู่บ้าง

คำพูดของป้อมข้างต้นข้อใดที่อาจทำลายมิตรภาพได้",ข้อ ๑,ข้อ ๒,ข้อ ๓,ข้อ ๔,ข้อ ๕,c
2021,thai,"คำใดจากกลุ่ม ก และ กลุ่ม ข เหมาะจะเติมลงในช่องว่าง (ก) และ (ข)
ตามลำดับของคำ ประพันธ์ต่อไปนี้
สุริยงแย้มเยี่ยมฟ้า           (ก)
ไม้ดอกระเริงแรง              กลิ่นเร้า
ภู่ผึ้งต่างเข้าแฝง               ชม (ข)
อีกหมู่สกุณเคล้า              จวบสินแสงฉาย

คำตอบที่ถูกต้องของ (ก) คือข้อใด",1 รุ่งราง,โชติช่วง,เผยแสง,ตระการ,เรืองรอง,c
2021,thai,"คำใดจากกลุ่ม ก และ กลุ่ม ข เหมาะจะเติมลงในช่องว่าง (ก) และ (ข)
ตามลำดับของคำ ประพันธ์ต่อไปนี้
สุริยงแย้มเยี่ยมฟ้า           (ก)
ไม้ดอกระเริงแรง              กลิ่นเร้า
ภู่ผึ้งต่างเข้าแฝง               ชม (ข)
อีกหมู่สกุณเคล้า              จวบสินแสงฉาย

คำตอบที่ถูกต้องของ (ข) คือข้อใด",กลีบ,เชย,กา,ดวง,มาลย์,a
2021,thai,"ข้อใดไม่ได้กล่าวถึงเกี่ยวกับสมุนไพรในข้อความต่อไปนี้
การอบสมุนไพรเป็นวิธีบำบัดและรักษาสุขภาพตามหลักของการแพทย์แผนไทย
โดยใช้สมุนไพรที่มีน้ำมันหอมระเหยสมุนไพรที่ใช้รักษาตามอาการและสมุนไพร
ที่มีรสเปรี้ยวมาต้มรวมกันในหม้อจนเดือดแล้วต่อท่อเข้าไปในกระโจมน้ำมัน
หอมระเหยและสารระเหยต่างๆ ซึ่งมีอยู่ในสมุนไพรจะออกมาสัมผัสผิวหนังทำให้
มีผลเฉพาะที่และเมื่อสูดดมเข้าไปจะมีผลต่อระบบทางเดินหายใจการรักษาด้วยการ
อบสมุนไพรช่วยเพิ่มการไหลเวียนของโลหิตให้ดีขึ้นและขับของเสียออกจากร่างกาย",วิธีใช้,ประเภท,ปริมาณที่ใช้,ประโยชน์ของการอบ,อุปกรณ์ที่ใช้ในการอบ,c
2021,thai,"ข้อใดสอดคล้องกับข้อความต่อไปนี้
อาการขาดสุราเฉียบพลันหรือภาวะถอนพิษสุราเกิดจากการเปลี่ยนแปลงของ
สารเคมีในระบบประสาทส่วนกลางจะเกิดในผู้ที่หยุดดื่มสุราหรือลดการดื่มลงอย่าง
กะทันหันหลังจากเคยดื่มอย่างหนักติดต่อกันเป็นเวลานานหรือดื่มสุราประมาณ
๐.๕ ลิตรติดต่อกัน ๒–๓ สัปดาห์ภาวะถอนพิษสุรามักเกิดขึ้นหลังจากหยุดดื่ม
ประมาณ 6–8 ชั่วโมงหรืออาจนานถึง๒–๓วันเลยทีเดียวผู้ป่วยมักมีอาการ
วิตกกังวลคลื่นไส้อาเจียน อ่อนเพลียหากมีอาการหนักขึ้นถึงขั้นชักหรือเกิด
ประสาทหลอนควรรีบไปพบแพทย์ทันทีเพราะอาจเป็นอันตรายถึงชีวิต",ผู้ที่ดื่มสุราเป็นประจำ จะเกิดอาการขาดสุราเฉียบพลัน,ผู้ที่ต้องการถอนพิษสุราจำเป็นต้องพบแพทย์อย่างรีบด่วน,ผู้ที่หยุดดื่มสุราอย่างกะทันหันต้องมีอาการชักและประสาทหลอน,ผู้ที่ดื่มสุราอย่างหนักทุกวันแล้วเลิกทันทีอาจมีผลรุนแรงต่อสุขภาพ,อาการขาดสุราเฉียบพลันจะปรากฏทันทีหลังจากผู้ที่เคยดื่มอย่างหนักลดการดื่มกะทันหัน,d
